timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
10th < 2020,East,West,electricity,17.67828047900014,expExc
20th < 2025,East,West,electricity,0.0,expExc
20th < 2030,East,West,electricity,0.0,expExc
30th < 2035,East,West,electricity,0.0,expExc
30th < 2040,East,West,electricity,7.6000185828092945,expExc
10th < 2020,West,East,electricity,17.67828047900014,expExc
20th < 2025,West,East,electricity,0.0,expExc
20th < 2030,West,East,electricity,0.0,expExc
30th < 2035,West,East,electricity,0.0,expExc
30th < 2040,West,East,electricity,7.6000185828092945,expExc
10th < 2020,East,West,electricity,17.67828047900014,capaExc
20th < 2025,East,West,electricity,17.67828047900014,capaExc
20th < 2030,East,West,electricity,17.67828047900014,capaExc
30th < 2035,East,West,electricity,17.67828047900014,capaExc
30th < 2040,East,West,electricity,25.278299061809435,capaExc
10th < 2020,West,East,electricity,19.67828047900014,capaExc
20th < 2025,West,East,electricity,19.67828047900014,capaExc
20th < 2030,West,East,electricity,19.67828047900014,capaExc
30th < 2035,West,East,electricity,19.67828047900014,capaExc
30th < 2040,West,East,electricity,27.278299061809435,capaExc
10th < 2020,East,West,gas < naturalGas,8.0,capaExc
20th < 2025,East,West,gas < naturalGas,8.0,capaExc
20th < 2030,East,West,gas < naturalGas,8.0,capaExc
30th < 2035,East,West,gas < naturalGas,8.0,capaExc
30th < 2040,East,West,gas < naturalGas,8.0,capaExc
10th < 2020,West,East,gas < naturalGas,8.0,capaExc
20th < 2025,West,East,gas < naturalGas,8.0,capaExc
20th < 2030,West,East,gas < naturalGas,8.0,capaExc
30th < 2035,West,East,gas < naturalGas,8.0,capaExc
30th < 2040,West,East,gas < naturalGas,8.0,capaExc
10th < 2020,East,West,electricity,2.67417548205246,exc
20th < 2025,East,West,electricity,4.165317261907456,exc
20th < 2030,East,West,electricity,3.957093106313759,exc
30th < 2035,East,West,electricity,12.503671359081602,exc
30th < 2040,East,West,electricity,10.681671094645035,exc
10th < 2020,West,East,electricity,115.63676281398028,exc
20th < 2025,West,East,electricity,75.61334416686478,exc
20th < 2030,West,East,electricity,79.19884238038527,exc
30th < 2035,West,East,electricity,76.46794163148284,exc
30th < 2040,West,East,electricity,131.9794462328838,exc
10th < 2020,East,West,gas < naturalGas < fossilGas,0.0,exc
10th < 2020,East,West,gas < naturalGas < synthGas,0.0,exc
20th < 2025,East,West,gas < naturalGas < fossilGas,0.0,exc
20th < 2025,East,West,gas < naturalGas < synthGas,0.0,exc
20th < 2030,East,West,gas < naturalGas < fossilGas,0.0,exc
20th < 2030,East,West,gas < naturalGas < synthGas,0.0,exc
30th < 2035,East,West,gas < naturalGas < fossilGas,50.727021004231396,exc
30th < 2035,East,West,gas < naturalGas < synthGas,0.0,exc
30th < 2040,East,West,gas < naturalGas < fossilGas,0.0,exc
30th < 2040,East,West,gas < naturalGas < synthGas,2.218965623562389,exc
10th < 2020,West,East,gas < naturalGas < fossilGas,0.0,exc
10th < 2020,West,East,gas < naturalGas < synthGas,0.0,exc
20th < 2025,West,East,gas < naturalGas < fossilGas,0.0,exc
20th < 2025,West,East,gas < naturalGas < synthGas,0.0,exc
20th < 2030,West,East,gas < naturalGas < fossilGas,0.0,exc
20th < 2030,West,East,gas < naturalGas < synthGas,0.0,exc
30th < 2035,West,East,gas < naturalGas < fossilGas,0.0,exc
30th < 2035,West,East,gas < naturalGas < synthGas,0.0,exc
30th < 2040,West,East,gas < naturalGas < fossilGas,0.0,exc
30th < 2040,West,East,gas < naturalGas < synthGas,0.0,exc
10th < 2020,East,West,electricity,151.2689814616918,flhExc
20th < 2025,East,West,electricity,235.617783463465,flhExc
20th < 2030,East,West,electricity,223.83925354133578,flhExc
30th < 2035,East,West,electricity,707.2900203124728,flhExc
30th < 2040,East,West,electricity,422.56288955703315,flhExc
10th < 2020,West,East,electricity,5876.365210739989,flhExc
20th < 2025,West,East,electricity,3842.477204629554,flhExc
20th < 2030,West,East,electricity,4024.6830745655375,flhExc
30th < 2035,West,East,electricity,3885.905667067116,flhExc
30th < 2040,West,East,electricity,4838.25791094356,flhExc
10th < 2020,East,West,gas < naturalGas < fossilGas,0.0,flhExc
10th < 2020,East,West,gas < naturalGas < synthGas,0.0,flhExc
20th < 2025,East,West,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2025,East,West,gas < naturalGas < synthGas,0.0,flhExc
20th < 2030,East,West,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2030,East,West,gas < naturalGas < synthGas,0.0,flhExc
30th < 2035,East,West,gas < naturalGas < fossilGas,6340.877625528925,flhExc
30th < 2035,East,West,gas < naturalGas < synthGas,0.0,flhExc
30th < 2040,East,West,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2040,East,West,gas < naturalGas < synthGas,277.37070294529866,flhExc
10th < 2020,West,East,gas < naturalGas < fossilGas,0.0,flhExc
10th < 2020,West,East,gas < naturalGas < synthGas,0.0,flhExc
20th < 2025,West,East,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2025,West,East,gas < naturalGas < synthGas,0.0,flhExc
20th < 2030,West,East,gas < naturalGas < fossilGas,0.0,flhExc
20th < 2030,West,East,gas < naturalGas < synthGas,0.0,flhExc
30th < 2035,West,East,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2035,West,East,gas < naturalGas < synthGas,0.0,flhExc
30th < 2040,West,East,gas < naturalGas < fossilGas,0.0,flhExc
30th < 2040,West,East,gas < naturalGas < synthGas,0.0,flhExc
